101.0   229.0   7.0   33.0 1
114.0   322.0   10.0   45.0	2
128.0   400.0   12.0   48.0	3
248.0   650.0   17.0   73.0	4
345.0   888.0   21.0   85.0	5
401.0   1128.0   29.0   134.0	6
639.0   1694.0   34.0   174.0	7
742.0   2036.0   52.0   218.0	8
1034.0   2502.0   79.0   308.0	9
1346.0   3089.0   107.0   402.0	10
1790.0   3858.0   148.0   499.0	11
2394.0   4636.0   197.0   659.0	12
2651.0   5883.0   233.0   800.0	13
3557.0   7375.0   366.0   1016.0	14
4316.0   9172.0   463.0   1196.0	15
5038.0   10149.0   631.0   1508.0	16
5838.0   12462.0   827.0   1855.0	17
6650.0   15113.0   1016.0   2169.0	18
100	17660.0	1266.0	100	19
